file,person
yaleB02_P00A+000E+00.jpg,02
yaleB02_P00A+000E+20.jpg,02
yaleB02_P00A+000E+45.jpg,02
yaleB02_P00A+000E+90.jpg,02
yaleB02_P00A+000E-20.jpg,02
yaleB02_P00A+000E-35.jpg,02
yaleB02_P00A+005E+10.jpg,02
yaleB02_P00A+005E-10.jpg,02
yaleB02_P00A+010E+00.jpg,02
yaleB02_P00A+010E-20.jpg,02
yaleB02_P00A+015E+20.jpg,02
yaleB02_P00A+020E+10.jpg,02
yaleB02_P00A+020E-10.jpg,02
yaleB02_P00A+020E-40.jpg,02
yaleB02_P00A+025E+00.jpg,02
yaleB02_P00A+035E+15.jpg,02
yaleB02_P00A+035E+40.jpg,02
yaleB02_P00A+035E+65.jpg,02
yaleB02_P00A+035E-20.jpg,02
yaleB02_P00A+050E+00.jpg,02
yaleB02_P00A+060E+20.jpg,02
yaleB02_P00A+060E-20.jpg,02
yaleB02_P00A+070E+00.jpg,02
yaleB02_P00A+070E+45.jpg,02
yaleB02_P00A+070E-35.jpg,02
yaleB02_P00A+085E+20.jpg,02
yaleB02_P00A+085E-20.jpg,02
yaleB02_P00A+110E+15.jpg,02
yaleB02_P00A+110E+40.jpg,02
yaleB02_P00A+110E+65.jpg,02
yaleB02_P00A+110E-20.jpg,02
yaleB02_P00A+120E+00.jpg,02
yaleB02_P00A-005E+10.jpg,02
yaleB02_P00A-005E-10.jpg,02
yaleB02_P00A-010E+00.jpg,02
yaleB02_P00A-010E-20.jpg,02
yaleB02_P00A-015E+20.jpg,02
yaleB02_P00A-020E+10.jpg,02
yaleB02_P00A-020E-10.jpg,02
yaleB02_P00A-020E-40.jpg,02
yaleB02_P00A-025E+00.jpg,02
yaleB02_P00A-035E+15.jpg,02
yaleB02_P00A-035E+40.jpg,02
yaleB02_P00A-035E+65.jpg,02
yaleB02_P00A-035E-20.jpg,02
yaleB02_P00A-050E+00.jpg,02
yaleB02_P00A-050E-40.jpg,02
yaleB02_P00A-060E+20.jpg,02
yaleB02_P00A-060E-20.jpg,02
yaleB02_P00A-070E+00.jpg,02
yaleB03_P00A+000E+00.jpg,03
yaleB03_P00A+000E+20.jpg,03
yaleB03_P00A+000E+45.jpg,03
yaleB03_P00A+000E+90.jpg,03
yaleB03_P00A+000E-20.jpg,03
yaleB03_P00A+000E-35.jpg,03
yaleB03_P00A+005E+10.jpg,03
yaleB03_P00A+005E-10.jpg,03
yaleB03_P00A+010E+00.jpg,03
yaleB03_P00A+010E-20.jpg,03
yaleB03_P00A+015E+20.jpg,03
yaleB03_P00A+020E+10.jpg,03
yaleB03_P00A+020E-10.jpg,03
yaleB03_P00A+020E-40.jpg,03
yaleB03_P00A+025E+00.jpg,03
